trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,17,-80.7715275905509,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-66.97283619286625,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-150.38421891973485,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-129.17108502666602,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-129.48400757839318,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-116.21220431394346,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-69.12786838960851,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,6,-145.14208116867727,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,12,-34.84673018718264,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-102.02264866471039,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,15,-6.3665665657211505,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-48.50033075022398,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-19.58602650013336,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,-71.70682726944075,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-36.90056082363064,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,-45.191391044194546,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,17.015523894349943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,1,-72.70089279701898,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,-19.286389641842153,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,13.62146437819689,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,-32.32534140964684,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,11,-7.410731141954379,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,11,15.517016396670837,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,13,-18.774314867789393,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",30,14,25.351956310973712,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",35,14,-15.724599071285319,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,12,-3.8626112816665334,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",35,23,19.79288326727597,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,0,15.667837615033346,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",35,9,-9.774419691986509,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 1}",1
