trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-82.58784105417183,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,5,-80.72268915573305,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-120.19098054548795,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-116.09720549342097,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-115.56728781150153,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-154.21834204149366,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-146.69635985274854,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,3,18.572030417777547,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-128.8356540493582,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-63.428232473302366,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,11,-20.10152637996644,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-138.2536366944763,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-140.0447190460125,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-161.16368030338117,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-130.53476728733452,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-117.11920799391896,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-103.78535413021278,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,8,-56.63416901122743,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-53.61552519066482,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,12,0.35199182605974055,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
